mes,mes_label,chapter,senioridade,etapa,ordem_etapa,candidatos
2026-05,Mai/2026,Data Consultant,Senior,Técnica 2,4,4
2026-05,Mai/2026,Data Consultant,Staff,Técnica 2,4,1
2026-05,Mai/2026,Data Consultant,Junior,Conversa com André,5,2
2026-05,Mai/2026,Data Consultant,Pleno,Conversa com André,5,3
2026-05,Mai/2026,Data Consultant,Senior,Conversa com André,5,2
2026-05,Mai/2026,Data Consultant,Staff,Conversa com André,5,1
2026-05,Mai/2026,Data Consultant,Junior,Oferta,6,1
2026-05,Mai/2026,Data Consultant,Pleno,Oferta,6,3
2026-05,Mai/2026,Data Consultant,Senior,Oferta,6,2
2026-05,Mai/2026,Data Consultant,Staff,Oferta,6,1
2026-05,Mai/2026,Data Consultant,Junior,Contratação,7,1
2026-05,Mai/2026,Data Consultant,Pleno,Contratação,7,2
2026-05,Mai/2026,Data Consultant,Senior,Contratação,7,2
2026-05,Mai/2026,Data Consultant,Staff,Contratação,7,0
2026-06,Jun/2026,Data Consultant,Junior,Envio de Currículo,1,20
2026-06,Jun/2026,Data Consultant,Pleno,Envio de Currículo,1,24
2026-06,Jun/2026,Data Consultant,Senior,Envio de Currículo,1,16
2026-06,Jun/2026,Data Consultant,Staff,Envio de Currículo,1,3
2026-06,Jun/2026,Data Consultant,Junior,Entrevista Fit,2,8
2026-06,Jun/2026,Data Consultant,Pleno,Entrevista Fit,2,11
2026-06,Jun/2026,Data Consultant,Senior,Entrevista Fit,2,7
2026-06,Jun/2026,Data Consultant,Staff,Entrevista Fit,2,2
2026-06,Jun/2026,Data Consultant,Junior,Técnica 1,3,6
2026-06,Jun/2026,Data Consultant,Pleno,Técnica 1,3,8
2026-06,Jun/2026,Data Consultant,Senior,Técnica 1,3,5
2026-06,Jun/2026,Data Consultant,Staff,Técnica 1,3,1
2026-06,Jun/2026,Data Consultant,Junior,Técnica 2,4,3
2026-06,Jun/2026,Data Consultant,Pleno,Técnica 2,4,5
2026-06,Jun/2026,Data Consultant,Senior,Técnica 2,4,4
2026-06,Jun/2026,Data Consultant,Staff,Técnica 2,4,1
2026-06,Jun/2026,Data Consultant,Junior,Conversa com André,5,2
2026-06,Jun/2026,Data Consultant,Pleno,Conversa com André,5,3
2026-06,Jun/2026,Data Consultant,Senior,Conversa com André,5,3
2026-06,Jun/2026,Data Consultant,Staff,Conversa com André,5,1
2026-06,Jun/2026,Data Consultant,Junior,Oferta,6,1
2026-06,Jun/2026,Data Consultant,Pleno,Oferta,6,3
2026-06,Jun/2026,Data Consultant,Senior,Oferta,6,2
2026-06,Jun/2026,Data Consultant,Staff,Oferta,6,1
2026-06,Jun/2026,Data Consultant,Junior,Contratação,7,1
2026-06,Jun/2026,Data Consultant,Pleno,Contratação,7,2
2026-06,Jun/2026,Data Consultant,Senior,Contratação,7,2
2026-06,Jun/2026,Data Consultant,Staff,Contratação,7,0
